# Threads, Time taken (in seconds)
1, 2.02098
1, 2.01205
1, 2.01171
1, 2.01617
1, 2.00961
1, 2.04874
1, 2.00839
1, 2.0223
1, 2.01083
1, 2.01728
1, 2.00874
1, 2.00709
1, 2.04436
1, 2.00623
1, 2.01023
1, 2.01055
1, 2.00822
1, 2.00825
1, 2.00699
1, 2.04099
2, 1.04413
2, 1.07419
2, 1.22385
2, 1.08824
2, 1.17587
2, 1.1439
2, 1.05226
2, 1.07859
2, 1.08939
2, 1.04854
2, 1.08365
2, 1.10688
2, 1.06436
2, 1.08898
2, 1.07445
2, 1.08805
2, 1.08137
2, 1.09144
2, 1.07081
2, 1.07633
3, 0.762593
3, 0.751116
3, 0.797432
3, 0.834771
3, 0.816425
3, 0.801865
3, 0.752453
3, 0.778498
3, 0.769164
3, 0.780849
3, 0.78259
3, 0.773014
3, 0.756814
3, 0.81902
3, 0.854058
3, 0.793654
3, 0.801675
3, 0.767281
3, 0.758173
3, 0.790767
4, 0.617787
4, 0.607576
4, 0.619265
4, 0.610631
4, 0.643735
4, 0.621377
4, 0.617671
4, 0.628092
4, 0.608202
4, 0.618438
4, 0.61781
4, 0.6091
4, 0.61266
4, 0.623779
4, 0.621318
4, 0.618473
4, 0.660153
4, 0.712996
4, 0.652873
4, 0.635645
5, 0.529275
5, 0.529584
5, 0.528684
5, 0.518674
5, 0.522608
5, 0.530108
5, 0.533932
5, 0.533753
5, 0.528384
5, 0.5232
5, 0.518969
5, 0.540345
5, 0.639101
5, 0.531627
5, 0.526276
5, 0.527509
5, 0.537039
5, 0.530022
5, 0.535637
5, 0.532112
6, 0.481351
6, 0.485617
6, 0.486403
6, 0.489537
6, 0.51533
6, 0.52568
6, 0.490153
6, 0.488895
6, 0.492658
6, 0.479173
6, 0.479071
6, 0.483541
6, 0.471942
6, 0.474113
6, 0.471487
6, 0.478773
6, 0.472145
6, 0.474542
6, 0.476007
6, 0.480409
7, 0.437199
7, 0.431866
7, 0.43098
7, 0.457375
7, 0.445616
7, 0.429271
7, 0.429149
7, 0.429479
7, 0.433511
7, 0.425991
7, 0.433257
7, 0.432037
7, 0.428433
7, 0.431394
7, 0.426451
7, 0.432874
7, 0.426775
7, 0.439706
7, 0.430836
7, 0.428891
8, 0.404883
8, 0.405332
8, 0.408719
8, 0.40606
8, 0.415813
8, 0.403497
8, 0.406083
8, 0.416353
8, 0.405626
8, 0.408618
8, 0.400992
8, 0.408395
8, 0.413527
8, 0.402997
8, 0.410958
8, 0.416405
8, 0.405964
8, 0.410511
8, 0.407369
8, 0.416748
9, 0.403969
9, 0.406846
9, 0.409194
9, 0.445507
9, 0.40857
9, 0.408231
9, 0.419762
9, 0.402199
9, 0.457876
9, 0.412662
9, 0.401697
9, 0.411105
9, 0.403192
9, 0.40641
9, 0.412107
9, 0.406047
9, 0.482033
9, 0.433447
9, 0.407153
9, 0.399396
10, 0.407169
10, 0.426443
10, 0.39896
10, 0.405412
10, 0.443528
10, 0.404997
10, 0.404893
10, 0.400647
10, 0.411987
10, 0.397305
10, 0.409357
10, 0.399186
10, 0.404982
10, 0.404528
10, 0.40645
10, 0.404602
10, 0.434526
10, 0.403457
10, 0.422948
10, 0.416534
11, 0.411072
11, 0.399935
11, 0.401749
11, 0.415882
11, 0.404085
11, 0.41263
11, 0.399398
11, 0.400902
11, 0.413896
11, 0.401067
11, 0.410648
11, 0.408633
11, 0.401634
11, 0.401937
11, 0.401288
11, 0.410862
11, 0.406692
11, 0.410124
11, 0.408157
11, 0.402875
12, 0.407564
12, 0.404829
12, 0.411856
12, 0.401619
12, 0.40967
12, 0.40964
12, 0.406986
12, 0.409164
12, 0.40417
12, 0.406546
12, 0.456138
12, 0.441597
12, 0.495348
12, 0.530594
12, 0.434884
12, 0.450405
12, 0.415476
12, 0.419489
12, 0.410935
12, 0.422153
13, 0.415158
13, 0.414654
13, 0.402807
13, 0.411278
13, 0.426282
13, 0.434632
13, 0.480427
13, 0.520494
13, 0.512024
13, 0.398169
13, 0.41065
13, 0.406897
13, 0.404394
13, 0.404762
13, 0.417082
13, 0.407031
13, 0.465988
13, 0.404943
13, 0.398606
13, 0.406973
14, 0.422713
14, 0.408262
14, 0.41234
14, 0.39855
14, 0.39886
14, 0.408688
14, 0.44189
14, 0.453807
14, 0.446344
14, 0.452278
14, 0.404523
14, 0.402816
14, 0.417085
14, 0.395957
14, 0.408186
14, 0.396741
14, 0.401572
14, 0.404877
14, 0.405254
14, 0.412641
15, 0.404797
15, 0.397166
15, 0.42209
15, 0.411119
15, 0.409867
15, 0.396176
15, 0.40404
15, 0.401512
15, 0.39861
15, 0.413949
15, 0.407036
15, 0.410007
15, 0.395754
15, 0.402635
15, 0.406323
15, 0.405399
15, 0.402373
15, 0.398271
15, 0.412993
15, 0.406054
16, 0.400562
16, 0.405169
16, 0.397872
16, 0.441689
16, 0.413393
16, 0.401427
16, 0.410244
16, 0.401307
16, 0.408418
16, 0.411824
16, 0.408533
16, 0.412024
16, 0.395494
16, 0.439426
16, 0.431212
16, 0.395305
16, 0.425288
16, 0.403832
16, 0.404045
16, 0.406101
