# Threads, Time taken (in seconds)
1, 0.529524
1, 0.530199
1, 0.538351
1, 0.549056
1, 0.534072
1, 0.523831
1, 0.520123
1, 0.525375
1, 0.550472
1, 0.541556
1, 0.518974
1, 0.521799
1, 0.525647
1, 0.523607
1, 0.518953
1, 0.545647
1, 0.522195
1, 0.522182
1, 0.548816
1, 0.521773
2, 0.29318
2, 0.300162
2, 0.302254
2, 0.306581
2, 0.308705
2, 0.295627
2, 0.305258
2, 0.29713
2, 0.304824
2, 0.28966
2, 0.298969
2, 0.309942
2, 0.305982
2, 0.302887
2, 0.295065
2, 0.302683
2, 0.294056
2, 0.310912
2, 0.312245
2, 0.300291
3, 0.226904
3, 0.225732
3, 0.226333
3, 0.224704
3, 0.232748
3, 0.221527
3, 0.218049
3, 0.230516
3, 0.221075
3, 0.232888
3, 0.228766
3, 0.23041
3, 0.221998
3, 0.221807
3, 0.232503
3, 0.22475
3, 0.225801
3, 0.220527
3, 0.227882
3, 0.227698
4, 0.195849
4, 0.187287
4, 0.199236
4, 0.195504
4, 0.196716
4, 0.192092
4, 0.191627
4, 0.194236
4, 0.188862
4, 0.196179
4, 0.189595
4, 0.197703
4, 0.191026
4, 0.193718
4, 0.198383
4, 0.190773
4, 0.219357
4, 0.193708
4, 0.191248
4, 0.195289
5, 0.174581
5, 0.173208
5, 0.172832
5, 0.17005
5, 0.172524
5, 0.175147
5, 0.170744
5, 0.175437
5, 0.173265
5, 0.167812
5, 0.173808
5, 0.178263
5, 0.166149
5, 0.170896
5, 0.169905
5, 0.169702
5, 0.178714
5, 0.168749
5, 0.171414
5, 0.169478
6, 0.161456
6, 0.157499
6, 0.160067
6, 0.159041
6, 0.15799
6, 0.162241
6, 0.157507
6, 0.157739
6, 0.165144
6, 0.171916
6, 0.162904
6, 0.15877
6, 0.163313
6, 0.157461
6, 0.162792
6, 0.164173
6, 0.157463
6, 0.155765
6, 0.156362
6, 0.162452
7, 0.148382
7, 0.1536
7, 0.14935
7, 0.149264
7, 0.152967
7, 0.148309
7, 0.147919
7, 0.148935
7, 0.153806
7, 0.14855
7, 0.148223
7, 0.148796
7, 0.149308
7, 0.149598
7, 0.152937
7, 0.151183
7, 0.14872
7, 0.148255
7, 0.149119
7, 0.149037
8, 0.143649
8, 0.148519
8, 0.146473
8, 0.144514
8, 0.148533
8, 0.142633
8, 0.143999
8, 0.143218
8, 0.15157
8, 0.145822
8, 0.144153
8, 0.143648
8, 0.143435
8, 0.146921
8, 0.143505
8, 0.154395
8, 0.144669
8, 0.143488
8, 0.143703
8, 0.142426
9, 0.145218
9, 0.144174
9, 0.151433
9, 0.144006
9, 0.143815
9, 0.14957
9, 0.143141
9, 0.146247
9, 0.144364
9, 0.150966
9, 0.144924
9, 0.144738
9, 0.14454
9, 0.146076
9, 0.148024
9, 0.150906
9, 0.149559
9, 0.150734
9, 0.145075
9, 0.145345
10, 0.144318
10, 0.145521
10, 0.147944
10, 0.145074
10, 0.144696
10, 0.144644
10, 0.149981
10, 0.148627
10, 0.144468
10, 0.153438
10, 0.157185
10, 0.165178
10, 0.148998
10, 0.187423
10, 0.153014
10, 0.154253
10, 0.158867
10, 0.164315
10, 0.162028
10, 0.174263
11, 0.184061
11, 0.170935
11, 0.166744
11, 0.16034
11, 0.159842
11, 0.160286
11, 0.155733
11, 0.158867
11, 0.162703
11, 0.16252
11, 0.22372
11, 0.157151
11, 0.182906
11, 0.235922
11, 0.20562
11, 0.202657
11, 0.252854
11, 0.160807
11, 0.152876
11, 0.143501
12, 0.145806
12, 0.1466
12, 0.150561
12, 0.145067
12, 0.150453
12, 0.148994
12, 0.146955
12, 0.151107
12, 0.14454
12, 0.149922
12, 0.143946
12, 0.151278
12, 0.146674
12, 0.14628
12, 0.144907
12, 0.144533
12, 0.150149
12, 0.145077
12, 0.15602
12, 0.145331
13, 0.146128
13, 0.144788
13, 0.144156
13, 0.1471
13, 0.147506
13, 0.155628
13, 0.14421
13, 0.14361
13, 0.144895
13, 0.144144
13, 0.149217
13, 0.149023
13, 0.158022
13, 0.14527
13, 0.144155
13, 0.161714
13, 0.147227
13, 0.148005
13, 0.150656
13, 0.15055
14, 0.145629
14, 0.150346
14, 0.146113
14, 0.151568
14, 0.152074
14, 0.159775
14, 0.159492
14, 0.154205
14, 0.146802
14, 0.145464
14, 0.14601
14, 0.144446
14, 0.165862
14, 0.147692
14, 0.143568
14, 0.146097
14, 0.144953
14, 0.145191
14, 0.149015
14, 0.14952
15, 0.155536
15, 0.144438
15, 0.148567
15, 0.160934
15, 0.152231
15, 0.159374
15, 0.183663
15, 0.143911
15, 0.143157
15, 0.157688
15, 0.153135
15, 0.155347
15, 0.151904
15, 0.144753
15, 0.143468
15, 0.145604
15, 0.144626
15, 0.144179
15, 0.155745
15, 0.157446
16, 0.155017
16, 0.1456
16, 0.152835
16, 0.150518
16, 0.144607
16, 0.155933
16, 0.152331
16, 0.152332
16, 0.143767
16, 0.160356
16, 0.147623
16, 0.155156
16, 0.15701
16, 0.147103
16, 0.150183
16, 0.145031
16, 0.15184
16, 0.149349
16, 0.159117
16, 0.152244
