# Threads, Time taken (in seconds)
1, 5.61458
1, 5.69457
1, 5.58019
1, 5.47572
1, 5.32231
1, 6.77118
1, 5.58035
1, 5.98578
1, 6.24764
1, 5.98569
1, 5.82754
1, 5.88046
1, 5.48202
1, 6.11247
1, 5.8035
1, 5.51241
1, 5.51811
1, 5.37604
1, 6.29214
1, 5.2334
2, 2.94421
2, 2.93679
2, 3.1402
2, 3.06699
2, 3.38816
2, 2.97333
2, 3.04806
2, 2.94937
2, 2.85198
2, 2.81914
2, 2.89329
2, 2.88018
2, 2.84082
2, 2.8414
2, 2.83963
2, 2.8158
2, 2.85632
2, 2.76188
2, 2.78481
2, 2.82853
3, 2.03355
3, 2.11009
3, 2.05597
3, 2.16562
3, 2.06262
3, 1.98019
3, 1.98529
3, 2.06215
3, 2.11708
3, 2.01899
3, 2.08544
3, 2.10196
3, 2.08694
3, 2.06165
3, 2.05134
3, 2.06434
3, 2.02458
3, 2.01119
3, 2.07632
3, 2.02726
4, 1.66211
4, 1.61765
4, 1.64604
4, 1.73524
4, 1.65883
4, 1.6863
4, 1.67558
4, 1.66259
4, 1.72305
4, 1.65797
4, 1.66897
4, 1.6886
4, 1.65449
4, 1.68698
4, 1.84313
4, 1.82799
4, 1.81093
4, 1.68891
4, 1.71872
4, 1.77762
5, 1.51077
5, 1.49835
5, 1.55501
5, 1.74588
5, 1.58568
5, 1.65622
5, 1.78682
5, 1.8831
5, 1.53082
5, 1.50363
5, 1.5098
5, 1.55278
5, 1.50688
5, 1.50592
5, 1.60862
5, 1.67134
5, 1.85573
5, 1.98883
5, 1.9913
5, 1.73481
6, 1.59232
6, 1.59063
6, 2.00175
6, 1.63084
6, 1.57589
6, 1.64562
6, 1.71387
6, 1.36295
6, 1.55975
6, 1.4161
6, 1.68034
6, 1.56192
6, 1.63689
6, 1.62087
6, 1.53926
6, 1.59674
6, 1.56212
6, 1.49211
6, 1.375
6, 1.32702
7, 1.28978
7, 1.36481
7, 1.36224
7, 1.36919
7, 1.35244
7, 1.30412
7, 1.29752
7, 1.37165
7, 1.36171
7, 1.3617
7, 1.30643
7, 1.51056
7, 1.51251
7, 1.48395
7, 1.28422
7, 1.30106
7, 1.30222
7, 1.26636
7, 1.37062
7, 1.23411
8, 1.33354
8, 1.42796
8, 1.20516
8, 1.22557
8, 1.50016
8, 1.39865
8, 1.25816
8, 1.21712
8, 1.47648
8, 1.4367
8, 1.40367
8, 1.40621
8, 1.2637
8, 1.3244
8, 1.42476
8, 1.59662
8, 1.93466
8, 1.49997
8, 1.48066
8, 1.23265
9, 1.35261
9, 1.34354
9, 1.4382
9, 1.7779
9, 1.80341
9, 1.66846
9, 1.46921
9, 1.22592
9, 1.47294
9, 1.6142
9, 1.53513
9, 1.41055
9, 1.48253
9, 1.49674
9, 1.30116
9, 1.43752
9, 1.39764
9, 1.48327
9, 1.61919
9, 1.61882
10, 2.03835
10, 1.49148
10, 1.50356
10, 1.70544
10, 1.51893
10, 1.77208
10, 1.57266
10, 1.69195
10, 1.25755
10, 1.24053
10, 1.51088
10, 2.22082
10, 1.47943
10, 1.39873
10, 1.29143
10, 1.35735
10, 1.18864
10, 1.194
10, 1.18068
10, 1.18006
11, 1.42389
11, 1.36362
11, 1.27503
11, 1.26995
11, 1.29943
11, 1.38314
11, 1.32203
11, 1.15213
11, 1.13792
11, 1.14134
11, 1.17804
11, 1.142
11, 1.141
11, 1.14727
11, 1.14262
11, 1.148
11, 1.13529
11, 1.14708
11, 1.13631
11, 1.15028
12, 1.14003
12, 1.1416
12, 1.14503
12, 1.1549
12, 1.13868
12, 1.15056
12, 1.14573
12, 1.14825
12, 1.14929
12, 1.13331
12, 1.15173
12, 1.1373
12, 1.14846
12, 1.15017
12, 1.14623
12, 1.20807
12, 1.13577
12, 1.14038
12, 1.14673
12, 1.13901
13, 1.14662
13, 1.15535
13, 1.19256
13, 1.14905
13, 1.13955
13, 1.14773
13, 1.15062
13, 1.14422
13, 1.14515
13, 1.15844
13, 1.14184
13, 1.14032
13, 1.14251
13, 1.14231
13, 1.14952
13, 1.13706
13, 1.14364
13, 1.14147
13, 1.14793
13, 1.14375
14, 1.15137
14, 1.14616
14, 1.15603
14, 1.14423
14, 1.13986
14, 1.14533
14, 1.14385
14, 1.16009
14, 1.14391
14, 1.13911
14, 1.14267
14, 1.13889
14, 1.1403
14, 1.14907
14, 1.15128
14, 1.24658
14, 1.26796
14, 1.16117
14, 1.16502
14, 1.14962
15, 1.21132
15, 1.27791
15, 1.25007
15, 1.27145
15, 1.22906
15, 1.15811
15, 1.1436
15, 1.1999
15, 1.16205
15, 1.14229
15, 1.15121
15, 1.155
15, 1.15919
15, 1.16745
15, 1.18298
15, 1.14695
15, 1.15343
15, 1.14611
15, 1.18142
15, 1.14361
16, 1.15877
16, 1.15511
16, 1.15149
16, 1.1541
16, 1.15394
16, 1.14498
16, 1.15752
16, 1.14399
16, 1.14589
16, 1.17189
16, 1.15238
16, 1.162
16, 1.15256
16, 1.15238
16, 1.15207
16, 1.13909
16, 1.14476
16, 1.15788
16, 1.15187
16, 1.15065
