# Threads, Time taken (in seconds)
1, 0.510588
1, 0.511919
1, 0.51526
1, 0.540634
1, 0.539615
1, 0.513632
1, 0.508896
1, 0.523631
1, 0.515637
1, 0.513016
1, 0.510567
1, 0.509051
1, 0.515114
1, 0.513469
1, 0.51288
1, 0.512855
1, 0.513603
1, 0.511147
1, 0.527807
1, 0.50808
2, 0.296937
2, 0.276881
2, 0.275821
2, 0.304171
2, 0.307746
2, 0.272055
2, 0.281811
2, 0.29574
2, 0.280136
2, 0.281992
2, 0.283225
2, 0.282326
2, 0.274299
2, 0.281102
2, 0.291368
2, 0.31365
2, 0.306299
2, 0.298505
2, 0.297795
2, 0.278552
3, 0.210098
3, 0.208648
3, 0.22182
3, 0.215308
3, 0.211324
3, 0.21793
3, 0.209645
3, 0.206236
3, 0.205321
3, 0.199558
3, 0.212666
3, 0.210321
3, 0.220036
3, 0.208142
3, 0.224035
3, 0.213534
3, 0.202794
3, 0.211124
3, 0.210858
3, 0.19942
4, 0.170324
4, 0.171338
4, 0.169977
4, 0.171391
4, 0.168386
4, 0.1765
4, 0.175011
4, 0.171458
4, 0.172359
4, 0.170468
4, 0.17527
4, 0.172754
4, 0.1732
4, 0.169215
4, 0.170098
4, 0.174889
4, 0.172233
4, 0.168969
4, 0.168713
4, 0.170766
5, 0.147869
5, 0.151328
5, 0.143961
5, 0.151378
5, 0.151768
5, 0.15166
5, 0.147981
5, 0.142821
5, 0.154512
5, 0.147444
5, 0.151958
5, 0.147192
5, 0.151549
5, 0.150311
5, 0.142263
5, 0.15294
5, 0.14159
5, 0.153608
5, 0.143264
5, 0.150547
6, 0.138795
6, 0.135815
6, 0.136782
6, 0.135294
6, 0.140374
6, 0.136176
6, 0.136277
6, 0.139155
6, 0.133492
6, 0.144077
6, 0.131337
6, 0.138783
6, 0.137925
6, 0.136242
6, 0.135841
6, 0.135127
6, 0.133032
6, 0.137041
6, 0.138335
6, 0.137661
7, 0.123947
7, 0.127348
7, 0.123267
7, 0.125765
7, 0.165219
7, 0.12548
7, 0.132449
7, 0.123755
7, 0.125471
7, 0.127044
7, 0.127102
7, 0.126703
7, 0.132351
7, 0.124138
7, 0.130821
7, 0.122816
7, 0.130145
7, 0.124772
7, 0.124425
7, 0.12614
8, 0.125604
8, 0.117568
8, 0.125595
8, 0.120741
8, 0.121317
8, 0.119203
8, 0.12111
8, 0.120583
8, 0.122894
8, 0.144481
8, 0.165454
8, 0.132665
8, 0.13723
8, 0.131088
8, 0.126115
8, 0.172986
8, 0.126034
8, 0.137194
8, 0.130995
8, 0.154061
9, 0.125989
9, 0.137859
9, 0.127645
9, 0.117286
9, 0.128836
9, 0.128449
9, 0.12043
9, 0.127333
9, 0.124541
9, 0.120936
9, 0.123781
9, 0.120413
9, 0.121114
9, 0.128409
9, 0.119561
9, 0.123173
9, 0.12122
9, 0.120393
9, 0.118563
9, 0.13399
10, 0.125725
10, 0.128384
10, 0.13453
10, 0.122496
10, 0.129704
10, 0.117614
10, 0.120156
10, 0.121825
10, 0.118871
10, 0.125827
10, 0.119717
10, 0.120356
10, 0.128449
10, 0.122774
10, 0.118322
10, 0.124547
10, 0.1202
10, 0.126072
10, 0.119438
10, 0.120186
11, 0.120622
11, 0.122739
11, 0.12116
11, 0.121912
11, 0.12902
11, 0.135923
11, 0.120339
11, 0.118824
11, 0.124662
11, 0.121345
11, 0.122156
11, 0.12246
11, 0.121841
11, 0.122565
11, 0.120991
11, 0.124543
11, 0.120641
11, 0.124106
11, 0.155156
11, 0.128431
12, 0.123539
12, 0.130909
12, 0.122067
12, 0.123131
12, 0.121388
12, 0.1225
12, 0.12138
12, 0.122985
12, 0.123526
12, 0.138314
12, 0.12684
12, 0.122568
12, 0.122074
12, 0.12377
12, 0.126261
12, 0.129318
12, 0.121765
12, 0.128241
12, 0.122872
12, 0.122254
13, 0.126329
13, 0.125826
13, 0.122886
13, 0.133374
13, 0.119316
13, 0.131902
13, 0.125132
13, 0.119436
13, 0.124544
13, 0.123708
13, 0.123392
13, 0.12377
13, 0.123988
13, 0.1303
13, 0.123117
13, 0.122349
13, 0.135816
13, 0.122054
13, 0.127361
13, 0.123556
14, 0.121399
14, 0.131708
14, 0.12882
14, 0.12018
14, 0.121939
14, 0.120161
14, 0.121595
14, 0.123808
14, 0.123715
14, 0.139543
14, 0.122813
14, 0.12006
14, 0.121913
14, 0.128759
14, 0.121196
14, 0.134677
14, 0.12515
14, 0.135604
14, 0.120537
14, 0.119715
15, 0.124381
15, 0.120238
15, 0.120621
15, 0.126845
15, 0.122954
15, 0.127463
15, 0.121702
15, 0.122091
15, 0.122814
15, 0.143252
15, 0.13487
15, 0.140895
15, 0.128518
15, 0.133952
15, 0.122039
15, 0.126069
15, 0.120881
15, 0.119824
15, 0.124036
15, 0.120579
16, 0.122744
16, 0.129716
16, 0.120959
16, 0.122091
16, 0.121175
16, 0.121866
16, 0.123967
16, 0.122968
16, 0.120239
16, 0.128036
16, 0.120095
16, 0.120537
16, 0.120236
16, 0.131403
16, 0.121015
16, 0.127774
16, 0.119707
16, 0.132784
16, 0.121667
16, 0.121894
