# Threads, Time taken (in seconds)
1, 1.25498
1, 1.2526
1, 1.25992
1, 1.24788
1, 1.29413
1, 1.23033
1, 1.25593
1, 1.25971
1, 1.25375
1, 1.25292
1, 1.25346
1, 1.2584
1, 1.23852
1, 1.26627
1, 1.2403
1, 1.22589
1, 1.25663
1, 1.26543
1, 1.24672
1, 1.28727
2, 0.646802
2, 0.652514
2, 0.618356
2, 0.65073
2, 0.668702
2, 0.645493
2, 0.633244
2, 0.665057
2, 0.674783
2, 0.650103
2, 0.680338
2, 0.634758
2, 0.647178
2, 0.671557
2, 0.661675
2, 0.664871
2, 0.639699
2, 0.650659
2, 0.639063
2, 0.640792
3, 0.481773
3, 0.478807
3, 0.465751
3, 0.442618
3, 0.461013
3, 0.461089
3, 0.464294
3, 0.452712
3, 0.510665
3, 0.489191
3, 0.468094
3, 0.46243
3, 0.494297
3, 0.471516
3, 0.453011
3, 0.468103
3, 0.459839
3, 0.454695
3, 0.480599
3, 0.484137
4, 0.408908
4, 0.430107
4, 0.4266
4, 0.423423
4, 0.415307
4, 0.411184
4, 0.408037
4, 0.412664
4, 0.409104
4, 0.388857
4, 0.384734
4, 0.374124
4, 0.37286
4, 0.389551
4, 0.384068
4, 0.381433
4, 0.378827
4, 0.368493
4, 0.37663
4, 0.39436
5, 0.333598
5, 0.331963
5, 0.329375
5, 0.333522
5, 0.330907
5, 0.331925
5, 0.331704
5, 0.332538
5, 0.331191
5, 0.328864
5, 0.340533
5, 0.336707
5, 0.338015
5, 0.332
5, 0.33025
5, 0.333251
5, 0.32881
5, 0.327853
5, 0.333428
5, 0.337964
6, 0.311829
6, 0.365588
6, 0.314658
6, 0.31142
6, 0.357672
6, 0.316834
6, 0.306487
6, 0.306782
6, 0.319688
6, 0.318913
6, 0.317581
6, 0.340865
6, 0.311695
6, 0.304557
6, 0.306521
6, 0.313912
6, 0.310855
6, 0.31067
6, 0.320757
6, 0.317931
7, 0.298023
7, 0.299121
7, 0.294173
7, 0.292773
7, 0.29452
7, 0.299577
7, 0.290584
7, 0.29586
7, 0.298844
7, 0.297344
7, 0.294835
7, 0.304792
7, 0.290841
7, 0.290658
7, 0.293365
7, 0.300335
7, 0.291213
7, 0.297223
7, 0.299875
7, 0.297232
8, 0.289303
8, 0.30026
8, 0.301415
8, 0.30195
8, 0.294367
8, 0.300194
8, 0.297097
8, 0.349549
8, 0.299234
8, 0.29844
8, 0.306869
8, 0.311773
8, 0.297702
8, 0.293328
8, 0.297286
8, 0.303534
8, 0.29827
8, 0.294907
8, 0.300259
8, 0.301008
9, 0.302269
9, 0.318036
9, 0.296491
9, 0.303071
9, 0.308285
9, 0.305866
9, 0.296022
9, 0.299365
9, 0.301619
9, 0.310514
9, 0.306564
9, 0.302389
9, 0.294636
9, 0.296996
9, 0.297959
9, 0.306444
9, 0.302854
9, 0.307033
9, 0.305582
9, 0.306581
10, 0.310797
10, 0.305674
10, 0.301165
10, 0.30749
10, 0.316897
10, 0.306415
10, 0.29613
10, 0.308551
10, 0.311973
10, 0.308145
10, 0.301464
10, 0.306302
10, 0.36282
10, 0.299875
10, 0.308436
10, 0.301015
10, 0.312866
10, 0.312884
10, 0.299063
10, 0.302248
11, 0.318758
11, 0.31581
11, 0.299702
11, 0.306665
11, 0.311775
11, 0.296502
11, 0.311726
11, 0.309447
11, 0.306998
11, 0.320001
11, 0.319314
11, 0.300019
11, 0.300065
11, 0.329407
11, 0.302109
11, 0.305454
11, 0.309125
11, 0.308801
11, 0.307786
11, 0.31361
12, 0.31422
12, 0.310068
12, 0.311721
12, 0.312426
12, 0.30334
12, 0.310764
12, 0.325669
12, 0.305738
12, 0.335242
12, 0.321687
12, 0.303243
12, 0.302798
12, 0.309692
12, 0.310758
12, 0.308449
12, 0.312696
12, 0.311274
12, 0.352315
12, 0.312454
12, 0.306743
13, 0.314902
13, 0.315097
13, 0.318448
13, 0.306042
13, 0.325671
13, 0.322131
13, 0.305636
13, 0.306051
13, 0.337777
13, 0.315602
13, 0.310486
13, 0.377405
13, 0.323619
13, 0.308838
13, 0.317424
13, 0.317966
13, 0.311908
13, 0.314601
13, 0.321159
13, 0.306892
14, 0.309946
14, 0.316367
14, 0.312799
14, 0.314474
14, 0.328242
14, 0.327236
14, 0.336609
14, 0.333383
14, 0.312555
14, 0.321418
14, 0.330886
14, 0.310683
14, 0.326955
14, 0.346112
14, 0.313251
14, 0.31186
14, 0.340452
14, 0.312521
14, 0.310436
14, 0.322951
15, 0.38543
15, 0.323722
15, 0.346163
15, 0.31851
15, 0.319675
15, 0.340772
15, 0.322101
15, 0.317763
15, 0.346671
15, 0.336086
15, 0.313718
15, 0.318694
15, 0.507442
15, 0.376922
15, 0.400959
15, 0.321037
15, 0.317243
15, 0.424529
15, 0.343084
15, 0.347892
16, 0.33716
16, 0.328176
16, 0.419948
16, 0.388098
16, 0.332313
16, 0.335075
16, 0.404124
16, 0.330489
16, 0.329874
16, 0.32865
16, 0.328573
16, 0.360473
16, 0.326232
16, 0.329265
16, 0.394628
16, 0.333639
16, 0.337847
16, 0.335455
16, 0.325319
16, 0.327384
