# Threads, Time taken (in seconds)
1, 1.81966
1, 1.69106
1, 1.69607
1, 1.6954
1, 1.69754
1, 1.69798
1, 1.77302
1, 1.74127
1, 1.71309
1, 1.72504
1, 1.73652
1, 1.71222
1, 1.7185
1, 1.71463
1, 1.72045
1, 1.72096
1, 1.72234
1, 1.75488
1, 1.71669
1, 1.7176
2, 1.00942
2, 1.02738
2, 1.0117
2, 1.02413
2, 0.993726
2, 1.00705
2, 0.996563
2, 1.00473
2, 0.998982
2, 1.0059
2, 1.00436
2, 0.996389
2, 0.987687
2, 1.00834
2, 1.02493
2, 0.98555
2, 1.00433
2, 1.05641
2, 1.01397
2, 1.00327
3, 0.753362
3, 0.749074
3, 0.758591
3, 0.76941
3, 0.766082
3, 0.774639
3, 0.757643
3, 0.751915
3, 0.761922
3, 0.761277
3, 0.751071
3, 0.751354
3, 0.753958
3, 0.75025
3, 0.748709
3, 0.752501
3, 0.749932
3, 0.773217
3, 0.754153
3, 0.745472
4, 0.687237
4, 0.665078
4, 0.708319
4, 0.670985
4, 0.692003
4, 0.680823
4, 0.685664
4, 0.69162
4, 0.676953
4, 0.684946
4, 0.688261
4, 0.682378
4, 0.679853
4, 0.68076
4, 0.676165
4, 0.686307
4, 0.696548
4, 0.718486
4, 0.695823
4, 0.676741
5, 0.613196
5, 0.61943
5, 0.632385
5, 0.622843
5, 0.622108
5, 0.624063
5, 0.634866
5, 0.630282
5, 0.628991
5, 0.621042
5, 0.636887
5, 0.614801
5, 0.623768
5, 0.628886
5, 0.617815
5, 0.622248
5, 0.625948
5, 0.63573
5, 0.62286
5, 0.647429
6, 0.527791
6, 0.52606
6, 0.531934
6, 0.532014
6, 0.514256
6, 0.524843
6, 0.55814
6, 0.531272
6, 0.527017
6, 0.529279
6, 0.534562
6, 0.523884
6, 0.523274
6, 0.526235
6, 0.524203
6, 0.533993
6, 0.522408
6, 0.523923
6, 0.522269
6, 0.521218
7, 0.484031
7, 0.487172
7, 0.485771
7, 0.484507
7, 0.482045
7, 0.489498
7, 0.523961
7, 0.481306
7, 0.479499
7, 0.484482
7, 0.478775
7, 0.492862
7, 0.482921
7, 0.482843
7, 0.477545
7, 0.489088
7, 0.48086
7, 0.489955
7, 0.48848
7, 0.504277
8, 0.487645
8, 0.498964
8, 0.488148
8, 0.538409
8, 0.513989
8, 0.491003
8, 0.48074
8, 0.492911
8, 0.483945
8, 0.485438
8, 0.479949
8, 0.498127
8, 0.47688
8, 0.491485
8, 0.516322
8, 0.487363
8, 0.486293
8, 0.486972
8, 0.486565
8, 0.488053
9, 0.520288
9, 0.51869
9, 0.513307
9, 0.510033
9, 0.518074
9, 0.514652
9, 0.523367
9, 0.518103
9, 0.509631
9, 0.519535
9, 0.506617
9, 0.510961
9, 0.514767
9, 0.523841
9, 0.519723
9, 0.536752
9, 0.51913
9, 0.519351
9, 0.515137
9, 0.528086
10, 0.544894
10, 0.562941
10, 0.529015
10, 0.51711
10, 0.535024
10, 0.533772
10, 0.540756
10, 0.532372
10, 0.539686
10, 0.541316
10, 0.550384
10, 0.532457
10, 0.521836
10, 0.539536
10, 0.539511
10, 0.546332
10, 0.530009
10, 0.541781
10, 0.536616
10, 0.54334
11, 0.529099
11, 0.539672
11, 0.553822
11, 0.533939
11, 0.533076
11, 0.532705
11, 0.549557
11, 0.605626
11, 0.616863
11, 0.5551
11, 0.546063
11, 0.54705
11, 0.544619
11, 0.546981
11, 0.547936
11, 0.551764
11, 0.58617
11, 0.540354
11, 0.562323
11, 0.562597
12, 0.549471
12, 0.560014
12, 0.596992
12, 0.552214
12, 0.558406
12, 0.546715
12, 0.544759
12, 0.5405
12, 0.559114
12, 0.551584
12, 0.559485
12, 0.554103
12, 0.545731
12, 0.552356
12, 0.527607
12, 0.557113
12, 0.530678
12, 0.537593
12, 0.534676
12, 0.543902
13, 0.550315
13, 0.56593
13, 0.548663
13, 0.543385
13, 0.539944
13, 0.537323
13, 0.559896
13, 0.549924
13, 0.546454
13, 0.55624
13, 0.583857
13, 0.536988
13, 0.560835
13, 0.538717
13, 0.55566
13, 0.547957
13, 0.583881
13, 0.541926
13, 0.556177
13, 0.557713
14, 0.543104
14, 0.565224
14, 0.544834
14, 0.583073
14, 0.554827
14, 0.552005
14, 0.559994
14, 0.555745
14, 0.562712
14, 0.553789
14, 0.548683
14, 0.55662
14, 0.554416
14, 0.558695
14, 0.555678
14, 0.589152
14, 0.573671
14, 0.560641
14, 0.555497
14, 0.565782
15, 0.555778
15, 0.561068
15, 0.573207
15, 0.56991
15, 0.576201
15, 0.554986
15, 0.562652
15, 0.55457
15, 0.560917
15, 0.55677
15, 0.583925
15, 0.553881
15, 0.570095
15, 0.567786
15, 0.550604
15, 0.563467
15, 0.554783
15, 0.574304
15, 0.569755
15, 0.552654
16, 0.620941
16, 0.637659
16, 0.843076
16, 0.599506
16, 0.592476
16, 0.576327
16, 0.586927
16, 0.579009
16, 0.614646
16, 0.618822
16, 0.669657
16, 0.62473
16, 0.557968
16, 0.558563
16, 0.584272
16, 0.575074
16, 0.556004
16, 0.57332
16, 0.567391
16, 0.573754
