# Threads, Time taken (in seconds)
1, 0.382077
1, 0.362241
1, 0.358151
1, 0.357241
1, 0.359635
1, 0.365283
1, 0.361791
1, 0.360708
1, 0.356338
1, 0.357181
1, 0.35542
1, 0.361944
1, 0.364939
1, 0.361147
1, 0.368723
1, 0.379932
1, 0.385466
1, 0.372816
1, 0.371253
1, 0.374333
2, 0.248631
2, 0.251357
2, 0.249708
2, 0.244613
2, 0.245442
2, 0.24083
2, 0.252007
2, 0.271921
2, 0.245659
2, 0.239054
2, 0.23294
2, 0.234612
2, 0.237429
2, 0.244859
2, 0.244541
2, 0.259055
2, 0.246988
2, 0.246617
2, 0.243346
2, 0.24595
3, 0.218841
3, 0.239052
3, 0.217177
3, 0.225535
3, 0.225897
3, 0.225733
3, 0.243916
3, 0.238005
3, 0.260605
3, 0.230336
3, 0.237736
3, 0.215835
3, 0.221869
3, 0.218206
3, 0.223961
3, 0.224264
3, 0.227303
3, 0.217179
3, 0.222855
3, 0.222036
4, 0.213418
4, 0.213525
4, 0.218127
4, 0.227241
4, 0.21769
4, 0.215508
4, 0.220056
4, 0.219185
4, 0.220245
4, 0.220503
4, 0.216979
4, 0.218833
4, 0.222206
4, 0.227093
4, 0.237589
4, 0.213709
4, 0.218089
4, 0.22479
4, 0.230506
4, 0.220552
5, 0.21733
5, 0.225902
5, 0.222793
5, 0.216663
5, 0.213455
5, 0.217536
5, 0.214503
5, 0.22178
5, 0.216625
5, 0.216571
5, 0.218732
5, 0.226168
5, 0.231148
5, 0.218524
5, 0.216378
5, 0.226627
5, 0.222281
5, 0.230051
5, 0.2226
5, 0.216312
6, 0.2217
6, 0.230639
6, 0.219215
6, 0.217036
6, 0.221386
6, 0.217009
6, 0.219257
6, 0.218833
6, 0.221401
6, 0.233753
6, 0.228501
6, 0.221053
6, 0.225396
6, 0.227467
6, 0.224637
6, 0.218956
6, 0.233032
6, 0.219169
6, 0.21471
6, 0.218205
7, 0.230836
7, 0.219649
7, 0.239234
7, 0.230985
7, 0.221013
7, 0.222049
7, 0.224046
7, 0.227464
7, 0.217439
7, 0.221621
7, 0.221069
7, 0.21993
7, 0.229086
7, 0.225929
7, 0.227181
7, 0.231916
7, 0.222655
7, 0.223739
7, 0.221432
7, 0.220964
8, 0.220142
8, 0.221925
8, 0.232195
8, 0.221514
8, 0.223746
8, 0.235179
8, 0.241085
8, 0.228996
8, 0.23871
8, 0.229939
8, 0.237045
8, 0.228989
8, 0.221977
8, 0.236428
8, 0.255461
8, 0.229378
8, 0.227684
8, 0.228207
8, 0.236834
8, 0.229174
9, 0.240906
9, 0.243475
9, 0.236022
9, 0.238298
9, 0.240734
9, 0.255728
9, 0.245431
9, 0.243074
9, 0.233232
9, 0.240476
9, 0.240955
9, 0.233856
9, 0.23982
9, 0.243383
9, 0.240075
9, 0.239854
9, 0.234491
9, 0.23869
9, 0.250066
9, 0.242227
10, 0.234385
10, 0.277561
10, 0.241764
10, 0.239969
10, 0.2434
10, 0.239764
10, 0.241186
10, 0.23437
10, 0.235333
10, 0.244112
10, 0.233441
10, 0.238656
10, 0.241954
10, 0.234346
10, 0.251481
10, 0.233689
10, 0.246086
10, 0.237694
10, 0.245203
10, 0.240531
11, 0.23892
11, 0.238977
11, 0.237454
11, 0.242066
11, 0.238804
11, 0.239074
11, 0.245115
11, 0.242346
11, 0.244615
11, 0.241314
11, 0.245125
11, 0.240809
11, 0.268138
11, 0.245233
11, 0.234142
11, 0.240967
11, 0.244427
11, 0.241706
11, 0.246705
11, 0.23667
12, 0.25198
12, 0.263568
12, 0.245591
12, 0.244363
12, 0.245914
12, 0.243972
12, 0.241895
12, 0.239482
12, 0.249882
12, 0.253944
12, 0.242772
12, 0.247907
12, 0.252001
12, 0.242144
12, 0.246525
12, 0.247107
12, 0.244414
12, 0.251687
12, 0.25082
12, 0.245597
13, 0.252233
13, 0.24609
13, 0.243384
13, 0.266141
13, 0.245404
13, 0.245497
13, 0.241778
13, 0.259586
13, 0.254479
13, 0.237377
13, 0.246821
13, 0.253735
13, 0.239847
13, 0.249428
13, 0.242157
13, 0.26916
13, 0.252279
13, 0.251008
13, 0.250281
13, 0.262103
14, 0.261852
14, 0.266886
14, 0.254955
14, 0.259126
14, 0.261119
14, 0.256588
14, 0.257666
14, 0.252177
14, 0.298771
14, 0.272913
14, 0.277579
14, 0.245993
14, 0.257709
14, 0.259115
14, 0.261958
14, 0.261775
14, 0.261045
14, 0.245188
14, 0.255695
14, 0.246328
15, 0.262191
15, 0.260961
15, 0.25684
15, 0.277667
15, 0.283098
15, 0.276476
15, 0.261441
15, 0.288712
15, 0.260968
15, 0.25733
15, 0.268007
15, 0.262694
15, 0.261642
15, 0.267318
15, 0.256338
15, 0.246647
15, 0.25665
15, 0.263811
15, 0.253121
15, 0.261779
16, 0.260447
16, 0.279226
16, 0.257969
16, 0.264974
16, 0.262942
16, 0.265406
16, 0.262676
16, 0.2629
16, 0.263977
16, 0.264007
16, 0.264719
16, 0.265517
16, 0.265058
16, 0.26635
16, 0.274211
16, 0.246319
16, 0.266652
16, 0.280211
16, 0.266504
16, 0.280109
