# Threads, Time taken (in seconds)
1, 4.93716
1, 4.93081
1, 4.94143
1, 4.93534
1, 4.93924
1, 4.92708
1, 4.94945
1, 4.93424
1, 4.93264
1, 4.93375
1, 4.94612
1, 4.98813
1, 5.02492
1, 4.95468
1, 4.9358
1, 4.94785
1, 4.95466
1, 4.94132
1, 4.95395
1, 4.93386
2, 3.48945
2, 3.551
2, 3.53396
2, 3.53726
2, 3.50371
2, 3.46815
2, 3.51542
2, 3.53028
2, 3.54616
2, 3.55763
2, 3.43198
2, 3.51125
2, 3.51099
2, 3.53259
2, 3.55123
2, 3.46363
2, 3.50482
2, 3.52545
2, 3.51149
2, 3.51452
3, 2.92903
3, 2.91024
3, 2.87928
3, 2.84275
3, 2.89816
3, 2.89941
3, 3.0559
3, 3.0083
3, 2.89881
3, 2.93389
3, 2.95755
3, 2.87791
3, 2.91698
3, 2.90467
3, 2.92159
3, 2.86777
3, 2.92477
3, 2.91007
3, 2.951
3, 2.95654
4, 2.55418
4, 2.56774
4, 2.61202
4, 2.54808
4, 2.56806
4, 2.56667
4, 2.52057
4, 2.50364
4, 2.55468
4, 2.53697
4, 2.52685
4, 2.51993
4, 2.53273
4, 2.77872
4, 2.695
4, 2.97438
4, 3.28073
4, 3.1343
4, 2.78452
4, 2.6156
5, 2.41401
5, 2.44952
5, 2.38024
5, 2.34844
5, 2.54023
5, 2.46851
5, 2.42622
5, 2.60528
5, 2.39473
5, 2.38608
5, 2.53849
5, 3.05384
5, 2.79498
5, 3.17812
5, 2.87747
5, 2.80472
5, 2.80828
5, 3.3141
5, 3.14942
5, 2.53179
6, 2.88826
6, 2.88911
6, 2.47568
6, 2.54048
6, 2.44202
6, 2.22625
6, 2.40549
6, 2.29062
6, 2.24929
6, 2.2181
6, 2.31414
6, 2.24244
6, 2.24473
6, 2.23813
6, 2.26607
6, 2.24893
6, 2.23787
6, 2.29502
6, 2.28745
6, 2.22347
7, 2.11366
7, 2.11562
7, 2.07899
7, 2.1062
7, 2.19447
7, 2.12075
7, 2.10451
7, 2.15151
7, 2.10264
7, 2.14293
7, 2.17099
7, 2.13334
7, 2.1879
7, 2.14395
7, 2.12664
7, 2.19879
7, 2.15598
7, 2.08217
7, 2.0973
7, 2.21707
8, 2.1621
8, 2.67092
8, 2.42378
8, 2.11013
8, 2.05182
8, 2.07461
8, 2.03911
8, 2.05473
8, 2.07408
8, 2.06861
8, 2.05349
8, 2.11367
8, 2.06389
8, 2.03501
8, 2.08949
8, 2.07622
8, 2.03861
8, 2.06314
8, 2.08672
8, 2.09252
9, 2.0971
9, 2.00859
9, 1.99269
9, 2.0115
9, 2.00893
9, 1.97595
9, 1.99271
9, 1.98994
9, 2.00505
9, 2.05073
9, 2.03331
9, 2.0777
9, 2.05068
9, 2.01511
9, 2.13796
9, 2.08617
9, 2.1313
9, 1.9917
9, 2.01702
9, 1.9711
10, 2.00599
10, 1.93119
10, 1.9779
10, 1.93489
10, 2.00246
10, 1.9585
10, 2.02539
10, 1.94275
10, 1.93649
10, 1.97312
10, 1.97479
10, 1.95139
10, 1.99923
10, 1.93572
10, 1.939
10, 1.98628
10, 1.93186
10, 1.93337
10, 2.02383
10, 1.90994
11, 1.85931
11, 1.9165
11, 1.89372
11, 1.94693
11, 1.94521
11, 1.88133
11, 1.86941
11, 1.9147
11, 1.8832
11, 1.90732
11, 1.88483
11, 1.93627
11, 1.88989
11, 1.8917
11, 1.97768
11, 1.90761
11, 1.94573
11, 1.93328
11, 1.99019
11, 2.03457
12, 1.98409
12, 1.95078
12, 1.90278
12, 1.89635
12, 2.13405
12, 2.00547
12, 2.24346
12, 2.02045
12, 1.98438
12, 2.02566
12, 1.89276
12, 1.88948
12, 1.89758
12, 1.89219
12, 1.90146
12, 1.9193
12, 1.84654
12, 1.9386
12, 1.96597
12, 1.89662
13, 1.94441
13, 1.93523
13, 1.87555
13, 2.0006
13, 1.82273
13, 1.82621
13, 2.08908
13, 2.08553
13, 2.21971
13, 2.17869
13, 2.12433
13, 2.11513
13, 2.24717
13, 2.24922
13, 1.93709
13, 1.95449
13, 1.90517
13, 1.90144
13, 1.89702
13, 1.87532
14, 1.94251
14, 1.91211
14, 2.16247
14, 2.64251
14, 2.37276
14, 2.40465
14, 2.29368
14, 2.58492
14, 2.06283
14, 2.09524
14, 2.62159
14, 3.14621
14, 2.49872
14, 2.18234
14, 2.01108
14, 1.96927
14, 2.53527
14, 2.1059
14, 2.02563
14, 2.05389
15, 1.98655
15, 1.99223
15, 2.08601
15, 1.9671
15, 1.97638
15, 1.94851
15, 2.03849
15, 2.0141
15, 1.89095
15, 1.97345
15, 2.05242
15, 1.93829
15, 1.99656
15, 1.91914
15, 2.02864
15, 1.97535
15, 2.06703
15, 2.03639
15, 2.11071
15, 1.95147
16, 2.08551
16, 1.93861
16, 1.98322
16, 1.96931
16, 1.95657
16, 1.97166
16, 2.06201
16, 2.00462
16, 1.99736
16, 1.95213
16, 2.17314
16, 2.16601
16, 2.15168
16, 2.17272
16, 2.37591
16, 1.9741
16, 2.08554
16, 1.98616
16, 2.01145
16, 1.90923
