# Threads, Time taken (in seconds)
1, 0.513703
1, 0.476241
1, 0.452439
1, 0.449682
1, 0.448268
1, 0.447983
1, 0.453466
1, 0.450935
1, 0.448223
1, 0.450897
1, 0.444195
1, 0.452198
1, 0.448082
1, 0.448369
1, 0.450638
1, 0.447506
1, 0.449631
1, 0.450166
1, 0.45208
1, 0.450431
2, 0.26121
2, 0.270228
2, 0.266542
2, 0.264082
2, 0.279739
2, 0.270815
2, 0.263155
2, 0.256736
2, 0.258719
2, 0.275375
2, 0.276139
2, 0.264727
2, 0.265532
2, 0.254461
2, 0.263608
2, 0.272997
2, 0.258292
2, 0.272181
2, 0.253129
2, 0.269499
3, 0.193603
3, 0.223188
3, 0.203516
3, 0.198863
3, 0.190187
3, 0.191106
3, 0.201219
3, 0.200567
3, 0.200322
3, 0.196896
3, 0.209138
3, 0.202936
3, 0.203514
3, 0.19237
3, 0.194764
3, 0.201007
3, 0.207512
3, 0.222579
3, 0.199496
3, 0.222296
4, 0.180829
4, 0.184532
4, 0.165795
4, 0.172061
4, 0.176912
4, 0.171546
4, 0.179702
4, 0.176047
4, 0.174012
4, 0.178712
4, 0.171847
4, 0.172145
4, 0.175628
4, 0.171295
4, 0.176062
4, 0.175792
4, 0.166531
4, 0.168441
4, 0.190961
4, 0.172856
5, 0.166218
5, 0.162168
5, 0.166949
5, 0.162
5, 0.157784
5, 0.158397
5, 0.164604
5, 0.156563
5, 0.160033
5, 0.163102
5, 0.154679
5, 0.159777
5, 0.162971
5, 0.161729
5, 0.168193
5, 0.169131
5, 0.165387
5, 0.155697
5, 0.158153
5, 0.162611
6, 0.151444
6, 0.153494
6, 0.156292
6, 0.157124
6, 0.153892
6, 0.150081
6, 0.147512
6, 0.151291
6, 0.154143
6, 0.151381
6, 0.149392
6, 0.15634
6, 0.156631
6, 0.1494
6, 0.153899
6, 0.15187
6, 0.152728
6, 0.152434
6, 0.153208
6, 0.151773
7, 0.144328
7, 0.146327
7, 0.166328
7, 0.148104
7, 0.15278
7, 0.142718
7, 0.145722
7, 0.146198
7, 0.143572
7, 0.147541
7, 0.142471
7, 0.143794
7, 0.150226
7, 0.146883
7, 0.146698
7, 0.150223
7, 0.145501
7, 0.147377
7, 0.143408
7, 0.143823
8, 0.142049
8, 0.158342
8, 0.141568
8, 0.144441
8, 0.143774
8, 0.14071
8, 0.143415
8, 0.141162
8, 0.148745
8, 0.147206
8, 0.140514
8, 0.145133
8, 0.142889
8, 0.143821
8, 0.14162
8, 0.153078
8, 0.144164
8, 0.142183
8, 0.145781
8, 0.14575
9, 0.157466
9, 0.148354
9, 0.153516
9, 0.161616
9, 0.147844
9, 0.151338
9, 0.147428
9, 0.139218
9, 0.154768
9, 0.151816
9, 0.151621
9, 0.149298
9, 0.146704
9, 0.144142
9, 0.154253
9, 0.152418
9, 0.165582
9, 0.152708
9, 0.147236
9, 0.150962
10, 0.161034
10, 0.153514
10, 0.159064
10, 0.153497
10, 0.151478
10, 0.153134
10, 0.14834
10, 0.148197
10, 0.153821
10, 0.152383
10, 0.154416
10, 0.15169
10, 0.150278
10, 0.152462
10, 0.15494
10, 0.152019
10, 0.151514
10, 0.155272
10, 0.158869
10, 0.15417
11, 0.164772
11, 0.155511
11, 0.164183
11, 0.15386
11, 0.1587
11, 0.152891
11, 0.15125
11, 0.148834
11, 0.151847
11, 0.156191
11, 0.155002
11, 0.145858
11, 0.14583
11, 0.159944
11, 0.159982
11, 0.190295
11, 0.150904
11, 0.150714
11, 0.15182
11, 0.152065
12, 0.15895
12, 0.151754
12, 0.15805
12, 0.1472
12, 0.152738
12, 0.151977
12, 0.150531
12, 0.156634
12, 0.153059
12, 0.150885
12, 0.151586
12, 0.155785
12, 0.155179
12, 0.170999
12, 0.158062
12, 0.151085
12, 0.150904
12, 0.159819
12, 0.149021
12, 0.147234
13, 0.158024
13, 0.143537
13, 0.152099
13, 0.153774
13, 0.152717
13, 0.152045
13, 0.154716
13, 0.153111
13, 0.145552
13, 0.148915
13, 0.148595
13, 0.155506
13, 0.14638
13, 0.157549
13, 0.145874
13, 0.149912
13, 0.150394
13, 0.161465
13, 0.149111
13, 0.1562
14, 0.156957
14, 0.15444
14, 0.152212
14, 0.150663
14, 0.151228
14, 0.146007
14, 0.154464
14, 0.155929
14, 0.151733
14, 0.149517
14, 0.14428
14, 0.152404
14, 0.155348
14, 0.154708
14, 0.151818
14, 0.147491
14, 0.152481
14, 0.150995
14, 0.146794
14, 0.15174
15, 0.15948
15, 0.158118
15, 0.159513
15, 0.173257
15, 0.17242
15, 0.189133
15, 0.202388
15, 0.174888
15, 0.183708
15, 0.18241
15, 0.196334
15, 0.186705
15, 0.189126
15, 0.168742
15, 0.171302
15, 0.169004
15, 0.164926
15, 0.15661
15, 0.163809
15, 0.158735
16, 0.160187
16, 0.156849
16, 0.168444
16, 0.222824
16, 0.154343
16, 0.154646
16, 0.153105
16, 0.161812
16, 0.167878
16, 0.156692
16, 0.158824
16, 0.168874
16, 0.157298
16, 0.159597
16, 0.162022
16, 0.155729
16, 0.16082
16, 0.165946
16, 0.159961
16, 0.164755
