# Threads, Time taken (in seconds)
1, 1.29728
1, 1.20104
1, 1.20867
1, 1.24551
1, 1.22041
1, 1.1962
1, 1.18474
1, 1.23384
1, 1.21076
1, 1.1977
1, 1.20759
1, 1.19899
1, 1.19296
1, 1.20367
1, 1.21748
1, 1.19408
1, 1.22195
1, 1.21021
1, 1.19775
1, 1.19065
2, 0.710721
2, 0.752938
2, 0.724335
2, 0.738456
2, 0.732723
2, 0.74608
2, 0.736104
2, 0.722325
2, 0.769832
2, 0.742276
2, 0.751927
2, 0.721798
2, 0.741259
2, 0.719593
2, 0.7515
2, 0.749947
2, 0.714695
2, 0.730511
2, 0.704411
2, 0.743166
3, 0.565448
3, 0.576719
3, 0.524385
3, 0.576032
3, 0.582687
3, 0.558585
3, 0.59745
3, 0.539837
3, 0.582164
3, 0.578452
3, 0.530587
3, 0.559867
3, 0.569186
3, 0.583055
3, 0.572961
3, 0.573355
3, 0.552999
3, 0.554273
3, 0.587075
3, 0.556501
4, 0.58109
4, 0.546645
4, 0.640741
4, 0.556626
4, 0.530127
4, 0.590255
4, 0.577782
4, 0.563028
4, 0.503978
4, 0.510184
4, 0.500792
4, 0.476661
4, 0.497973
4, 0.49429
4, 0.493706
4, 0.474695
4, 0.468384
4, 0.483606
4, 0.47277
4, 0.505298
5, 0.450203
5, 0.431595
5, 0.491804
5, 0.490852
5, 0.436574
5, 0.448131
5, 0.441254
5, 0.431196
5, 0.453928
5, 0.446031
5, 0.446322
5, 0.451197
5, 0.436329
5, 0.457203
5, 0.458454
5, 0.445883
5, 0.445647
5, 0.432471
5, 0.435446
5, 0.437741
6, 0.38798
6, 0.393563
6, 0.405458
6, 0.401991
6, 0.418061
6, 0.404264
6, 0.412245
6, 0.427937
6, 0.404538
6, 0.407917
6, 0.392042
6, 0.403456
6, 0.414712
6, 0.415747
6, 0.410885
6, 0.400174
6, 0.416249
6, 0.405788
6, 0.400074
6, 0.394021
7, 0.393656
7, 0.383058
7, 0.397721
7, 0.378874
7, 0.391175
7, 0.383261
7, 0.396005
7, 0.390098
7, 0.414882
7, 0.358262
7, 0.374766
7, 0.40923
7, 0.39395
7, 0.360516
7, 0.359533
7, 0.358427
7, 0.350676
7, 0.349704
7, 0.366647
7, 0.37029
8, 0.360039
8, 0.335834
8, 0.353971
8, 0.382855
8, 0.34717
8, 0.340927
8, 0.343755
8, 0.337324
8, 0.340771
8, 0.339535
8, 0.345369
8, 0.344254
8, 0.33455
8, 0.331818
8, 0.344256
8, 0.337919
8, 0.329713
8, 0.333557
8, 0.350616
8, 0.340837
9, 0.351527
9, 0.316392
9, 0.331219
9, 0.317808
9, 0.32328
9, 0.318845
9, 0.332496
9, 0.313631
9, 0.353917
9, 0.334796
9, 0.33019
9, 0.332954
9, 0.309615
9, 0.342893
9, 0.385307
9, 0.313929
9, 0.363145
9, 0.313072
9, 0.369076
9, 0.338168
10, 0.393873
10, 0.344531
10, 0.315842
10, 0.348292
10, 0.309321
10, 0.35154
10, 0.309266
10, 0.319734
10, 0.321889
10, 0.315603
10, 0.334146
10, 0.310208
10, 0.314
10, 0.301284
10, 0.326982
10, 0.340135
10, 0.310793
10, 0.323144
10, 0.306931
10, 0.306042
11, 0.339938
11, 0.305243
11, 0.30289
11, 0.296754
11, 0.302848
11, 0.30122
11, 0.336829
11, 0.310483
11, 0.306772
11, 0.335555
11, 0.338849
11, 0.374965
11, 0.327826
11, 0.312517
11, 0.296659
11, 0.299218
11, 0.31433
11, 0.35949
11, 0.315982
11, 0.315204
12, 0.319912
12, 0.30889
12, 0.295105
12, 0.293881
12, 0.346519
12, 0.31992
12, 0.311957
12, 0.329549
12, 0.340185
12, 0.348729
12, 0.318238
12, 0.315836
12, 0.304575
12, 0.316871
12, 0.304404
12, 0.304211
12, 0.309664
12, 0.3108
12, 0.316976
12, 0.306564
13, 0.325627
13, 0.320497
13, 0.299543
13, 0.304699
13, 0.3282
13, 0.297421
13, 0.317084
13, 0.306855
13, 0.311961
13, 0.349812
13, 0.314841
13, 0.333656
13, 0.30931
13, 0.298281
13, 0.317144
13, 0.293002
13, 0.319427
13, 0.320385
13, 0.325871
13, 0.306003
14, 0.314615
14, 0.295477
14, 0.313823
14, 0.302601
14, 0.303015
14, 0.306984
14, 0.329544
14, 0.322013
14, 0.306342
14, 0.309074
14, 0.316509
14, 0.302051
14, 0.306954
14, 0.312283
14, 0.303552
14, 0.331457
14, 0.323186
14, 0.302805
14, 0.30267
14, 0.305154
15, 0.315178
15, 0.305085
15, 0.304485
15, 0.338409
15, 0.307586
15, 0.32219
15, 0.312215
15, 0.326847
15, 0.304704
15, 0.310831
15, 0.327393
15, 0.326526
15, 0.312553
15, 0.382436
15, 0.308901
15, 0.315587
15, 0.309541
15, 0.307273
15, 0.321687
15, 0.299714
16, 0.309863
16, 0.319784
16, 0.313051
16, 0.306937
16, 0.302435
16, 0.327615
16, 0.31017
16, 0.311891
16, 0.319127
16, 0.309868
16, 0.313837
16, 0.318422
16, 0.298761
16, 0.321599
16, 0.308996
16, 0.317338
16, 0.32018
16, 0.316885
16, 0.336426
16, 0.309344
