# Threads, Time taken (in seconds)
1, 1.68032
1, 1.63021
1, 1.62986
1, 1.64827
1, 1.63212
1, 1.6913
1, 1.63251
1, 1.62554
1, 1.63592
1, 1.63162
1, 1.62833
1, 1.63105
1, 1.65396
1, 1.62797
1, 1.65373
1, 1.62583
1, 1.63437
1, 1.63337
1, 1.62894
1, 1.62989
2, 0.913572
2, 0.911682
2, 0.907892
2, 0.923627
2, 0.909592
2, 0.922376
2, 0.9176
2, 0.923861
2, 0.936242
2, 0.908805
2, 0.910704
2, 0.928812
2, 0.930379
2, 0.913697
2, 0.911738
2, 0.938813
2, 0.919118
2, 0.901792
2, 0.92089
2, 0.954362
3, 0.704816
3, 0.742399
3, 0.900885
3, 0.763415
3, 0.668277
3, 0.692311
3, 0.668819
3, 0.699617
3, 0.699448
3, 0.678202
3, 0.686865
3, 0.712067
3, 0.692941
3, 0.675335
3, 0.697886
3, 0.685158
3, 0.685079
3, 0.678873
3, 0.679275
3, 0.685283
4, 0.552258
4, 0.562227
4, 0.563223
4, 0.570305
4, 0.559231
4, 0.565958
4, 0.558919
4, 0.552271
4, 0.557199
4, 0.562734
4, 0.568527
4, 0.567724
4, 0.547816
4, 0.567313
4, 0.564903
4, 0.559275
4, 0.563223
4, 0.549769
4, 0.564025
4, 0.568171
5, 0.495894
5, 0.51017
5, 0.525914
5, 0.50603
5, 0.519127
5, 0.492314
5, 0.538138
5, 0.490944
5, 0.501347
5, 0.483264
5, 0.490426
5, 0.498243
5, 0.487922
5, 0.514814
5, 0.503821
5, 0.483564
5, 0.484961
5, 0.487218
5, 0.490368
5, 0.493488
6, 0.45952
6, 0.453006
6, 0.451707
6, 0.441112
6, 0.447705
6, 0.454504
6, 0.447688
6, 0.447316
6, 0.447327
6, 0.461615
6, 0.456988
6, 0.4579
6, 0.453126
6, 0.44409
6, 0.45483
6, 0.45003
6, 0.44612
6, 0.459901
6, 0.450449
6, 0.450784
7, 0.421982
7, 0.418558
7, 0.416952
7, 0.424823
7, 0.417196
7, 0.42563
7, 0.418679
7, 0.414838
7, 0.419508
7, 0.424023
7, 0.419378
7, 0.424208
7, 0.428135
7, 0.417779
7, 0.452963
7, 0.417697
7, 0.430248
7, 0.421015
7, 0.416656
7, 0.416781
8, 0.413746
8, 0.40557
8, 0.401812
8, 0.408699
8, 0.403721
8, 0.396387
8, 0.412883
8, 0.42635
8, 0.397923
8, 0.39875
8, 0.406835
8, 0.400889
8, 0.406043
8, 0.40456
8, 0.408342
8, 0.400842
8, 0.402544
8, 0.407319
8, 0.44321
8, 0.425721
9, 0.540807
9, 0.452736
9, 0.436559
9, 0.429759
9, 0.444928
9, 0.450605
9, 0.451612
9, 0.434297
9, 0.449702
9, 0.446492
9, 0.449667
9, 0.447701
9, 0.431726
9, 0.433616
9, 0.449699
9, 0.45074
9, 0.444845
9, 0.43012
9, 0.438723
9, 0.448911
10, 0.443679
10, 0.440191
10, 0.431581
10, 0.426644
10, 0.445281
10, 0.45023
10, 0.429844
10, 0.525074
10, 0.467948
10, 0.463226
10, 0.469513
10, 0.48818
10, 0.4746
10, 0.460966
10, 0.481697
10, 0.510254
10, 0.460606
10, 0.447132
10, 0.415046
10, 0.447848
11, 0.439462
11, 0.429497
11, 0.437879
11, 0.405587
11, 0.432218
11, 0.418925
11, 0.440385
11, 0.429529
11, 0.43875
11, 0.432275
11, 0.416376
11, 0.420237
11, 0.422954
11, 0.434643
11, 0.428318
11, 0.43078
11, 0.430882
11, 0.417103
11, 0.426325
11, 0.433017
12, 0.423506
12, 0.41557
12, 0.426887
12, 0.419667
12, 0.426226
12, 0.412823
12, 0.421535
12, 0.422435
12, 0.41822
12, 0.411871
12, 0.418246
12, 0.406413
12, 0.459218
12, 0.416569
12, 0.420795
12, 0.419891
12, 0.404806
12, 0.414991
12, 0.425526
12, 0.418225
13, 0.422941
13, 0.422369
13, 0.41864
13, 0.414673
13, 0.42015
13, 0.424941
13, 0.417752
13, 0.417752
13, 0.428456
13, 0.410684
13, 0.412708
13, 0.418212
13, 0.421342
13, 0.410959
13, 0.421326
13, 0.428534
13, 0.419873
13, 0.439739
13, 0.471647
13, 0.417951
14, 0.421731
14, 0.420463
14, 0.418557
14, 0.414065
14, 0.4178
14, 0.414884
14, 0.411195
14, 0.448224
14, 0.409904
14, 0.421423
14, 0.424761
14, 0.418025
14, 0.408236
14, 0.426094
14, 0.423369
14, 0.411026
14, 0.420256
14, 0.41164
14, 0.422109
14, 0.418216
15, 0.438655
15, 0.412774
15, 0.417406
15, 0.418617
15, 0.429468
15, 0.417662
15, 0.419159
15, 0.420389
15, 0.416773
15, 0.414477
15, 0.411853
15, 0.422648
15, 0.421785
15, 0.412205
15, 0.62483
15, 0.501994
15, 0.501502
15, 0.42194
15, 0.415968
15, 0.51796
16, 0.520853
16, 0.511723
16, 0.50038
16, 0.497523
16, 0.429156
16, 0.430351
16, 0.41852
16, 0.421355
16, 0.40818
16, 0.414206
16, 0.420011
16, 0.426089
16, 0.411754
16, 0.41018
16, 0.423162
16, 0.423874
16, 0.430402
16, 0.427578
16, 0.412289
16, 0.430717
