# Threads, Time taken (in seconds)
1, 0.358661
1, 0.340307
1, 0.335674
1, 0.340528
1, 0.347086
1, 0.332829
1, 0.342002
1, 0.342129
1, 0.340623
1, 0.335823
1, 0.331068
1, 0.331006
1, 0.337693
1, 0.3427
1, 0.354041
1, 0.332315
1, 0.334302
1, 0.335919
1, 0.339078
1, 0.338922
2, 0.212989
2, 0.216606
2, 0.212827
2, 0.217406
2, 0.22527
2, 0.218734
2, 0.218305
2, 0.214765
2, 0.21692
2, 0.216263
2, 0.2123
2, 0.213774
2, 0.213602
2, 0.212388
2, 0.211993
2, 0.212342
2, 0.22121
2, 0.215159
2, 0.211305
2, 0.218678
3, 0.182715
3, 0.174821
3, 0.17201
3, 0.169127
3, 0.173757
3, 0.171297
3, 0.165453
3, 0.171577
3, 0.179056
3, 0.175147
3, 0.177367
3, 0.168796
3, 0.172836
3, 0.179033
3, 0.175636
3, 0.173765
3, 0.17593
3, 0.181807
3, 0.167518
3, 0.17798
4, 0.169317
4, 0.157928
4, 0.157925
4, 0.157697
4, 0.155258
4, 0.153294
4, 0.158724
4, 0.157108
4, 0.161409
4, 0.156623
4, 0.158316
4, 0.155463
4, 0.153078
4, 0.166274
4, 0.157521
4, 0.155749
4, 0.154677
4, 0.154875
4, 0.156968
4, 0.15892
5, 0.155891
5, 0.15122
5, 0.149117
5, 0.147279
5, 0.15286
5, 0.145521
5, 0.149757
5, 0.14341
5, 0.146372
5, 0.148922
5, 0.14489
5, 0.14472
5, 0.148361
5, 0.152326
5, 0.148888
5, 0.189703
5, 0.163195
5, 0.165369
5, 0.16456
5, 0.151129
6, 0.150017
6, 0.140863
6, 0.146316
6, 0.143901
6, 0.144885
6, 0.144003
6, 0.161625
6, 0.14424
6, 0.141332
6, 0.146493
6, 0.142171
6, 0.143291
6, 0.145564
6, 0.142152
6, 0.141931
6, 0.14025
6, 0.14452
6, 0.141772
6, 0.142885
6, 0.149246
7, 0.143977
7, 0.14207
7, 0.142823
7, 0.139517
7, 0.142911
7, 0.139937
7, 0.141981
7, 0.14367
7, 0.143444
7, 0.141827
7, 0.141545
7, 0.157017
7, 0.151207
7, 0.145063
7, 0.145881
7, 0.142607
7, 0.146512
7, 0.141219
7, 0.140944
7, 0.142928
8, 0.151469
8, 0.142272
8, 0.14306
8, 0.143546
8, 0.141535
8, 0.141945
8, 0.14247
8, 0.145792
8, 0.141293
8, 0.142075
8, 0.141629
8, 0.141555
8, 0.140016
8, 0.140515
8, 0.14592
8, 0.142431
8, 0.143792
8, 0.139971
8, 0.143493
8, 0.141279
9, 0.150354
9, 0.157203
9, 0.147854
9, 0.145163
9, 0.151801
9, 0.148194
9, 0.179626
9, 0.164705
9, 0.200232
9, 0.194279
9, 0.173877
9, 0.159105
9, 0.164008
9, 0.176608
9, 0.170983
9, 0.156847
9, 0.164699
9, 0.166072
9, 0.183795
9, 0.168355
10, 0.150515
10, 0.147848
10, 0.214039
10, 0.158804
10, 0.161727
10, 0.209319
10, 0.181491
10, 0.160453
10, 0.169605
10, 0.156329
10, 0.148686
10, 0.159372
10, 0.180409
10, 0.186187
10, 0.171798
10, 0.155185
10, 0.225924
10, 0.186138
10, 0.179562
10, 0.174615
11, 0.183351
11, 0.17769
11, 0.191246
11, 0.184323
11, 0.176114
11, 0.190935
11, 0.160083
11, 0.168375
11, 0.169436
11, 0.16085
11, 0.160981
11, 0.194023
11, 0.184419
11, 0.202651
11, 0.197027
11, 0.168573
11, 0.175337
11, 0.173884
11, 0.16599
11, 0.170652
12, 0.162413
12, 0.16586
12, 0.200684
12, 0.164207
12, 0.169031
12, 0.182596
12, 0.195194
12, 0.162033
12, 0.152157
12, 0.149701
12, 0.149304
12, 0.153627
12, 0.150663
12, 0.146042
12, 0.147003
12, 0.146262
12, 0.145577
12, 0.152116
12, 0.147637
12, 0.157457
13, 0.153774
13, 0.149371
13, 0.158479
13, 0.148113
13, 0.155752
13, 0.148841
13, 0.149502
13, 0.15109
13, 0.149887
13, 0.148586
13, 0.147459
13, 0.153531
13, 0.154751
13, 0.150665
13, 0.150197
13, 0.150291
13, 0.147319
13, 0.156721
13, 0.147168
13, 0.150668
14, 0.153656
14, 0.150917
14, 0.153213
14, 0.15002
14, 0.159594
14, 0.170229
14, 0.156947
14, 0.171711
14, 0.154097
14, 0.153845
14, 0.156553
14, 0.150938
14, 0.166537
14, 0.167965
14, 0.16686
14, 0.153897
14, 0.157289
14, 0.150297
14, 0.150656
14, 0.150699
15, 0.18564
15, 0.156256
15, 0.152285
15, 0.154428
15, 0.163967
15, 0.155621
15, 0.15909
15, 0.154808
15, 0.155558
15, 0.162684
15, 0.15668
15, 0.156341
15, 0.152926
15, 0.169436
15, 0.153832
15, 0.160273
15, 0.155557
15, 0.172417
15, 0.153724
15, 0.197521
16, 0.180867
16, 0.181605
16, 0.156117
16, 0.156781
16, 0.155385
16, 0.159594
16, 0.159236
16, 0.159648
16, 0.157365
16, 0.158026
16, 0.16178
16, 0.159048
16, 0.167439
16, 0.155552
16, 0.157398
16, 0.157979
16, 0.15639
16, 0.157886
16, 0.168251
16, 0.183051
