# Threads, Time taken (in seconds)
1, 5.41305
1, 5.36915
1, 5.37733
1, 5.49313
1, 5.39688
1, 5.49867
1, 5.50873
1, 6.49895
1, 5.56495
1, 5.5799
1, 5.37569
1, 5.36231
1, 5.3906
1, 5.3961
1, 5.39114
1, 5.35747
1, 5.36789
1, 5.42394
1, 5.39462
1, 5.34914
2, 4.06426
2, 4.05739
2, 4.03948
2, 4.11289
2, 4.04748
2, 4.03649
2, 4.12458
2, 4.07443
2, 4.06187
2, 4.21511
2, 4.04583
2, 4.19868
2, 4.18739
2, 4.35848
2, 4.33588
2, 4.38714
2, 4.21884
2, 4.19513
2, 4.08448
2, 4.02394
3, 3.16067
3, 3.2783
3, 3.20191
3, 3.18611
3, 3.20408
3, 3.17608
3, 3.21874
3, 3.25808
3, 3.15198
3, 3.16754
3, 3.23477
3, 3.18726
3, 3.23795
3, 3.61401
3, 3.42704
3, 3.2447
3, 3.18112
3, 3.16946
3, 3.15892
3, 3.16878
4, 2.7682
4, 2.74715
4, 2.72377
4, 2.74139
4, 2.75109
4, 2.75079
4, 2.71899
4, 2.72497
4, 2.75009
4, 2.74104
4, 2.70659
4, 2.73341
4, 2.77703
4, 2.7333
4, 2.74354
4, 2.88615
4, 2.98061
4, 2.81065
4, 2.76395
4, 2.74688
5, 2.45414
5, 2.44688
5, 2.46723
5, 2.45277
5, 2.42376
5, 2.45451
5, 2.40658
5, 2.51702
5, 2.58723
5, 2.49026
5, 2.46288
5, 2.4506
5, 2.48307
5, 2.4162
5, 2.52487
5, 2.86471
5, 2.42366
5, 2.45542
5, 2.47588
5, 2.39972
6, 2.24586
6, 2.21698
6, 2.23619
6, 2.20189
6, 2.2376
6, 2.22624
6, 2.25478
6, 2.31967
6, 2.2223
6, 2.25166
6, 2.23878
6, 2.26811
6, 2.25674
6, 2.2828
6, 2.21223
6, 2.23543
6, 2.27584
6, 2.19914
6, 2.24743
6, 2.24673
7, 2.1198
7, 2.13958
7, 2.09076
7, 2.18652
7, 2.08706
7, 2.08952
7, 2.12864
7, 2.09354
7, 2.0458
7, 2.13684
7, 2.16521
7, 2.23705
7, 2.15439
7, 2.03987
7, 2.08337
7, 2.04395
7, 2.03077
7, 2.05156
7, 2.08896
7, 2.04915
8, 1.93506
8, 1.97489
8, 1.96835
8, 2.07408
8, 1.98459
8, 1.97495
8, 2.02082
8, 1.99706
8, 1.98556
8, 1.98239
8, 2.00326
8, 1.99052
8, 1.97873
8, 1.95127
8, 1.98969
8, 1.94139
8, 1.96456
8, 2.05377
8, 1.98006
8, 2.08321
9, 1.93786
9, 2.00402
9, 1.98643
9, 1.91332
9, 1.91185
9, 2.07718
9, 1.94652
9, 2.11229
9, 1.95064
9, 2.1096
9, 1.98278
9, 1.93527
9, 2.08512
9, 1.90397
9, 2.05696
9, 2.00358
9, 1.99932
9, 1.86304
9, 1.90136
9, 1.95321
10, 2.06614
10, 1.97846
10, 1.93097
10, 2.00433
10, 1.87047
10, 1.87717
10, 1.87919
10, 1.88772
10, 1.87551
10, 1.87385
10, 1.88558
10, 1.90279
10, 1.85715
10, 1.83748
10, 1.91205
10, 1.92593
10, 2.08397
10, 1.89611
10, 1.84821
10, 1.9132
11, 1.84282
11, 1.87488
11, 1.89421
11, 1.89027
11, 1.82269
11, 1.87563
11, 1.89188
11, 1.83115
11, 1.81729
11, 1.95735
11, 1.85647
11, 1.85456
11, 1.86581
11, 1.89655
11, 1.92856
11, 1.94065
11, 1.90933
11, 2.03123
11, 1.926
11, 1.97697
12, 1.8655
12, 1.86735
12, 1.90011
12, 1.99182
12, 1.89973
12, 1.86192
12, 1.85965
12, 1.97877
12, 1.8631
12, 1.86585
12, 1.81223
12, 1.86687
12, 1.87527
12, 1.83431
12, 1.84165
12, 1.90331
12, 1.82592
12, 1.87401
12, 1.83632
12, 1.87635
13, 1.83021
13, 1.82693
13, 1.81633
13, 1.88519
13, 1.81245
13, 1.92072
13, 1.94022
13, 1.83479
13, 1.86554
13, 1.85967
13, 1.88106
13, 1.85448
13, 1.82334
13, 1.82525
13, 1.82204
13, 1.798
13, 1.87679
13, 1.82311
13, 1.83175
13, 1.86959
14, 2.09083
14, 2.0882
14, 1.85277
14, 1.80772
14, 1.82131
14, 1.8727
14, 1.78828
14, 1.79408
14, 1.7925
14, 1.91903
14, 1.84185
14, 1.7993
14, 1.83821
14, 1.77354
14, 1.77727
14, 1.86688
14, 1.83674
14, 1.82538
14, 1.88248
14, 1.82268
15, 1.83699
15, 1.82713
15, 1.79608
15, 1.79922
15, 1.75371
15, 1.86669
15, 1.92587
15, 1.82036
15, 1.84009
15, 1.84502
15, 1.78371
15, 1.82932
15, 1.84776
15, 1.85809
15, 1.8213
15, 1.77409
15, 1.92165
15, 1.84651
15, 1.85002
15, 1.812
16, 1.84273
16, 1.82243
16, 1.78641
16, 1.81499
16, 1.83866
16, 1.77785
16, 1.79898
16, 1.79956
16, 1.95264
16, 2.30848
16, 2.03967
16, 1.93512
16, 2.00155
16, 1.77618
16, 1.80147
16, 1.79569
16, 1.78118
16, 1.81865
16, 1.84723
16, 1.94619
