# Threads, Time taken (in seconds)
1, 0.437788
1, 0.435982
1, 0.437619
1, 0.433941
1, 0.437174
1, 0.437005
1, 0.436816
1, 0.432801
1, 0.437156
1, 0.434038
1, 0.434208
1, 0.43602
1, 0.434376
1, 0.433297
1, 0.438796
1, 0.434543
1, 0.435579
1, 0.43321
1, 0.439658
1, 0.433294
2, 0.265501
2, 0.247724
2, 0.243184
2, 0.230269
2, 0.249185
2, 0.239314
2, 0.248907
2, 0.228756
2, 0.23591
2, 0.261863
2, 0.23683
2, 0.233791
2, 0.23163
2, 0.244642
2, 0.230746
2, 0.241186
2, 0.237584
2, 0.231829
2, 0.241912
2, 0.256662
3, 0.184513
3, 0.186147
3, 0.171609
3, 0.188009
3, 0.195019
3, 0.174663
3, 0.180525
3, 0.183985
3, 0.174945
3, 0.196179
3, 0.187954
3, 0.193967
3, 0.179634
3, 0.184218
3, 0.179968
3, 0.180044
3, 0.177981
3, 0.16877
3, 0.190934
3, 0.185155
4, 0.145999
4, 0.158408
4, 0.158987
4, 0.149066
4, 0.159025
4, 0.161743
4, 0.156108
4, 0.150555
4, 0.151173
4, 0.152228
4, 0.159326
4, 0.151401
4, 0.160846
4, 0.153905
4, 0.152031
4, 0.158578
4, 0.151478
4, 0.152892
4, 0.153007
4, 0.162482
5, 0.142294
5, 0.142824
5, 0.142572
5, 0.149894
5, 0.135161
5, 0.143006
5, 0.144188
5, 0.140505
5, 0.14472
5, 0.135776
5, 0.143004
5, 0.143801
5, 0.136277
5, 0.145562
5, 0.143875
5, 0.141786
5, 0.142513
5, 0.144808
5, 0.144425
5, 0.144073
6, 0.132331
6, 0.133833
6, 0.12807
6, 0.13251
6, 0.132873
6, 0.131923
6, 0.130919
6, 0.13254
6, 0.133935
6, 0.133654
6, 0.132321
6, 0.131162
6, 0.133146
6, 0.132479
6, 0.169789
6, 0.132705
6, 0.125357
6, 0.131678
6, 0.130752
6, 0.127581
7, 0.135936
7, 0.126891
7, 0.13303
7, 0.132766
7, 0.129344
7, 0.124451
7, 0.130253
7, 0.125826
7, 0.133925
7, 0.130915
7, 0.13363
7, 0.130398
7, 0.130402
7, 0.128815
7, 0.131589
7, 0.127132
7, 0.132437
7, 0.127631
7, 0.127026
7, 0.12527
8, 0.125789
8, 0.125674
8, 0.1219
8, 0.127735
8, 0.123915
8, 0.123258
8, 0.122907
8, 0.123865
8, 0.12302
8, 0.121715
8, 0.126856
8, 0.123107
8, 0.12521
8, 0.12185
8, 0.129128
8, 0.123802
8, 0.122722
8, 0.128409
8, 0.127864
8, 0.12493
9, 0.135817
9, 0.132427
9, 0.134986
9, 0.145116
9, 0.145182
9, 0.141607
9, 0.132355
9, 0.142818
9, 0.137498
9, 0.138395
9, 0.139301
9, 0.13279
9, 0.131963
9, 0.130856
9, 0.138619
9, 0.142324
9, 0.149358
9, 0.133316
9, 0.131214
9, 0.135325
10, 0.123863
10, 0.132768
10, 0.125116
10, 0.127535
10, 0.125925
10, 0.130551
10, 0.133021
10, 0.125185
10, 0.126757
10, 0.12779
10, 0.129819
10, 0.134363
10, 0.126373
10, 0.130651
10, 0.129268
10, 0.132207
10, 0.124287
10, 0.130377
10, 0.125752
10, 0.131739
11, 0.128331
11, 0.127759
11, 0.12461
11, 0.129983
11, 0.122763
11, 0.123487
11, 0.126956
11, 0.133621
11, 0.122468
11, 0.124109
11, 0.124852
11, 0.125034
11, 0.125456
11, 0.128944
11, 0.126939
11, 0.148644
11, 0.130431
11, 0.128703
11, 0.141295
11, 0.146881
12, 0.20734
12, 0.147111
12, 0.149839
12, 0.142205
12, 0.131627
12, 0.126797
12, 0.127424
12, 0.125713
12, 0.128592
12, 0.134974
12, 0.12776
12, 0.128743
12, 0.121746
12, 0.136327
12, 0.124946
12, 0.121081
12, 0.125852
12, 0.143527
12, 0.13181
12, 0.137953
13, 0.133367
13, 0.122558
13, 0.126539
13, 0.125927
13, 0.122494
13, 0.122352
13, 0.123495
13, 0.128138
13, 0.122806
13, 0.125261
13, 0.12434
13, 0.123503
13, 0.120455
13, 0.122747
13, 0.125241
13, 0.131078
13, 0.123828
13, 0.124815
13, 0.12532
13, 0.120092
14, 0.121484
14, 0.125191
14, 0.126789
14, 0.127858
14, 0.122944
14, 0.129342
14, 0.123322
14, 0.124034
14, 0.123257
14, 0.128115
14, 0.124204
14, 0.123411
14, 0.122849
14, 0.132279
14, 0.125908
14, 0.121142
14, 0.12201
14, 0.123931
14, 0.120339
14, 0.124852
15, 0.121427
15, 0.129687
15, 0.128773
15, 0.121967
15, 0.126153
15, 0.124315
15, 0.121075
15, 0.121481
15, 0.125849
15, 0.121222
15, 0.12396
15, 0.124942
15, 0.122901
15, 0.13078
15, 0.130683
15, 0.126936
15, 0.129561
15, 0.129378
15, 0.127958
15, 0.12305
16, 0.124052
16, 0.125498
16, 0.125683
16, 0.128382
16, 0.132331
16, 0.121892
16, 0.137122
16, 0.129127
16, 0.12718
16, 0.126661
16, 0.125887
16, 0.134898
16, 0.124133
16, 0.134224
16, 0.126296
16, 0.135378
16, 0.127888
16, 0.123848
16, 0.12859
16, 0.123642
