# Threads, Time taken (in seconds)
1, 1.3633
1, 1.26874
1, 1.32246
1, 1.78152
1, 1.26106
1, 1.25131
1, 1.23638
1, 1.24826
1, 1.24171
1, 1.24472
1, 1.2322
1, 1.25561
1, 1.24445
1, 1.26296
1, 1.25798
1, 1.24696
1, 1.25313
1, 1.25212
1, 1.25089
1, 1.22761
2, 0.697818
2, 0.690068
2, 0.695841
2, 0.695832
2, 0.677909
2, 0.676541
2, 0.706582
2, 0.73757
2, 0.701087
2, 0.665681
2, 0.688373
2, 0.729459
2, 0.722549
2, 0.709263
2, 0.712966
2, 0.702296
2, 0.712563
2, 0.711714
2, 0.70247
2, 0.702938
3, 0.490379
3, 0.514736
3, 0.544706
3, 0.518893
3, 0.512654
3, 0.513964
3, 0.555294
3, 0.494837
3, 0.543544
3, 0.548912
3, 0.534361
3, 0.511204
3, 0.536979
3, 0.513755
3, 0.514995
3, 0.516827
3, 0.521282
3, 0.520478
3, 0.539899
3, 0.501746
4, 0.443103
4, 0.405915
4, 0.439039
4, 0.423399
4, 0.440992
4, 0.440345
4, 0.44966
4, 0.437597
4, 0.426324
4, 0.425402
4, 0.428868
4, 0.445732
4, 0.448034
4, 0.451246
4, 0.418534
4, 0.444677
4, 0.408819
4, 0.423443
4, 0.454649
4, 0.435287
5, 0.380661
5, 0.355938
5, 0.375331
5, 0.396361
5, 0.372407
5, 0.38666
5, 0.392737
5, 0.379596
5, 0.410196
5, 0.37628
5, 0.359696
5, 0.372891
5, 0.373568
5, 0.387829
5, 0.37235
5, 0.387412
5, 0.428302
5, 0.406903
5, 0.405451
5, 0.384588
6, 0.360891
6, 0.352142
6, 0.344666
6, 0.346707
6, 0.363754
6, 0.357057
6, 0.351287
6, 0.353115
6, 0.348244
6, 0.345444
6, 0.345224
6, 0.356092
6, 0.349661
6, 0.354886
6, 0.359233
6, 0.403083
6, 0.359685
6, 0.356413
6, 0.359718
6, 0.352884
7, 0.330356
7, 0.336933
7, 0.319283
7, 0.332331
7, 0.348348
7, 0.333741
7, 0.334809
7, 0.333847
7, 0.321556
7, 0.326168
7, 0.334581
7, 0.327642
7, 0.332474
7, 0.342026
7, 0.324885
7, 0.330776
7, 0.337889
7, 0.330166
7, 0.334761
7, 0.340125
8, 0.328158
8, 0.333076
8, 0.333469
8, 0.324584
8, 0.3208
8, 0.330528
8, 0.32662
8, 0.320297
8, 0.325167
8, 0.328942
8, 0.327146
8, 0.33431
8, 0.325094
8, 0.325405
8, 0.334736
8, 0.325004
8, 0.318725
8, 0.377053
8, 0.319255
8, 0.329376
9, 0.351563
9, 0.326999
9, 0.338773
9, 0.341607
9, 0.331092
9, 0.33335
9, 0.339827
9, 0.336554
9, 0.335463
9, 0.344144
9, 0.335883
9, 0.341119
9, 0.337571
9, 0.354349
9, 0.360844
9, 0.356141
9, 0.322451
9, 0.340565
9, 0.340336
9, 0.334756
10, 0.363295
10, 0.429022
10, 0.338637
10, 0.335254
10, 0.321569
10, 0.329854
10, 0.327767
10, 0.321157
10, 0.320688
10, 0.328669
10, 0.322359
10, 0.326275
10, 0.347676
10, 0.322896
10, 0.321951
10, 0.334834
10, 0.319224
10, 0.323384
10, 0.333804
10, 0.329316
11, 0.319545
11, 0.318914
11, 0.318662
11, 0.325357
11, 0.318745
11, 0.337314
11, 0.313105
11, 0.322369
11, 0.34959
11, 0.335029
11, 0.327202
11, 0.32979
11, 0.316425
11, 0.316124
11, 0.346966
11, 0.322529
11, 0.320201
11, 0.329317
11, 0.313555
11, 0.327852
12, 0.365901
12, 0.355029
12, 0.353687
12, 0.369044
12, 0.355436
12, 0.353079
12, 0.322775
12, 0.314542
12, 0.314604
12, 0.325785
12, 0.311246
12, 0.320799
12, 0.327936
12, 0.31449
12, 0.313736
12, 0.326648
12, 0.30716
12, 0.313044
12, 0.354271
12, 0.310833
13, 0.31148
13, 0.318022
13, 0.322344
13, 0.318301
13, 0.325183
13, 0.310735
13, 0.317417
13, 0.319494
13, 0.314057
13, 0.312813
13, 0.319049
13, 0.321468
13, 0.316019
13, 0.322546
13, 0.321315
13, 0.319414
13, 0.318043
13, 0.324879
13, 0.318796
13, 0.311244
14, 0.325025
14, 0.316349
14, 0.318522
14, 0.337853
14, 0.316585
14, 0.313656
14, 0.317714
14, 0.317186
14, 0.321207
14, 0.328444
14, 0.31784
14, 0.316428
14, 0.319256
14, 0.319189
14, 0.311091
14, 0.314266
14, 0.322549
14, 0.335979
14, 0.341208
14, 0.339403
15, 0.317885
15, 0.317238
15, 0.370774
15, 0.31683
15, 0.321273
15, 0.334515
15, 0.319971
15, 0.315265
15, 0.33475
15, 0.328508
15, 0.317217
15, 0.332757
15, 0.315623
15, 0.316021
15, 0.331562
15, 0.315724
15, 0.314665
15, 0.319193
15, 0.322016
15, 0.315459
16, 0.330233
16, 0.329391
16, 0.314478
16, 0.325121
16, 0.314243
16, 0.311421
16, 0.324919
16, 0.316258
16, 0.321573
16, 0.313894
16, 0.322458
16, 0.311749
16, 0.312757
16, 0.405734
16, 0.381496
16, 0.321648
16, 0.314893
16, 0.31796
16, 0.311196
16, 0.319452
